Sample,TotalSig1Number,TotalSig5Number,TotalSig7Number,GDC_SigData.TotalMutNumber,CLASSIFICATION
TCGA-DA-A1IC-06A-11D-A197-08,0.091575398,0,0.773497925,1296,NF1
TCGA-DA-A3F3-06A-11D-A20D-08,0.110358953,0,0.814354725,381,NRAS
TCGA-DA-A3F5-06A-11D-A20D-08,0.116349909,0,0.665542777,424,BRAF
TCGA-DA-A3F8-06A-11D-A20D-08,0.024340359,0,0.930820784,1553,BRAF
TCGA-DA-A95V-06A-11D-A372-08,0.067710867,0,0.686248415,338,NF1
TCGA-DA-A95W-06A-11D-A372-08,0.095979859,0,0.710890799,212,BRAF
TCGA-DA-A95X-06A-11D-A372-08,0.092368972,0,0.819499573,665,NRAS
TCGA-DA-A95Y-06A-11D-A372-08,0.062541635,0.080419909,0.832520051,542,WT
TCGA-DA-A95Z-06A-11D-A372-08,0.084065109,0,0.884197022,2559,WT
TCGA-DA-A960-01A-11D-A372-08,0.094058122,0,0.867098093,1149,NRAS
TCGA-EB-A1NK-01A-11D-A196-08,0.065971193,0,0.724355892,172,NRAS
TCGA-EB-A24C-01A-11D-A197-08,0.130013854,0,0.075576215,32,BRAF
TCGA-EB-A24D-01A-11D-A197-08,0.038981339,0.098181998,0.743254403,709,WT
TCGA-EB-A299-01A-21D-A197-08,0.057058909,0,0.885779665,191,BRAF
TCGA-EB-A3HV-01A-11D-A21A-08,0,0,0.561482982,62,BRAF
TCGA-EB-A3XB-01A-11D-A23B-08,0.049051717,0,0.785022957,671,BRAF
TCGA-EB-A3XC-01A-11D-A23B-08,0.030493444,0,0.762733679,544,BRAF
TCGA-EB-A3XD-01A-22D-A23B-08,0.109475701,0,0.825351706,447,BRAF
TCGA-EB-A3XE-01A-12D-A23B-08,0,0,0.322312737,21,BRAF
TCGA-EB-A3XF-01A-31D-A23B-08,0.030938972,0,0.837173617,531,BRAF
TCGA-EB-A3Y6-01A-21D-A23B-08,0.085580059,0,0.760260792,792,BRAF
TCGA-EB-A3Y7-01A-11D-A23B-08,0.057696109,0.060753601,0.81066774,1447,NF1
TCGA-EB-A41A-01A-11D-A24R-08,0.005902204,0,0.930888454,2483,NF1
TCGA-EB-A41B-01A-11D-A24R-08,0.046035804,0,0.953964196,519,WT
TCGA-EB-A42Y-01A-12D-A24R-08,0.194858261,0,0.296111039,77,WT
TCGA-EB-A42Z-01A-12D-A24R-08,0.196056023,0,0.690261358,145,BRAF
TCGA-EB-A430-01A-11D-A24R-08,0.083873516,0,0.779677545,508,BRAF
TCGA-EB-A431-01A-11D-A25O-08,0.032788303,0,0.845549448,2302,BRAF
TCGA-EB-A44N-01A-11D-A25O-08,0.114599957,0,0.748020951,206,BRAF
TCGA-EB-A44O-01A-11D-A25O-08,0.077552311,0,0.770552382,676,NRAS
TCGA-EB-A44P-01A-11D-A25O-08,0.019236391,0,0.749429216,443,BRAF
TCGA-EB-A44Q-06A-11D-A25O-08,0.300242243,0,0.21137556,52,NRAS
TCGA-EB-A44R-06A-41D-A25O-08,0.42627049,0,0,67,NRAS
TCGA-EB-A4IQ-01A-12D-A25O-08,0,0,0.3929435,15,WT
TCGA-EB-A4IS-01A-21D-A25O-08,0.004990777,0,0.727532114,748,BRAF
TCGA-EB-A4OY-01A-11D-A25O-08,0.268054846,0,0,63,WT
TCGA-EB-A4OZ-01A-12D-A25O-08,0.058286164,0,0,15,WT
TCGA-EB-A4P0-01A-41D-A25O-08,0.053344327,0,0.551864209,255,BRAF
TCGA-EB-A4XL-01A-11D-A27K-08,0.041708618,0,0.761412596,607,WT
TCGA-EB-A51B-01A-11D-A27K-08,0.051712367,0,0.770051685,536,WT
TCGA-EB-A550-01A-61D-A27K-08,0.103134662,0,0.766598368,180,BRAF
TCGA-EB-A551-01A-21D-A27K-08,0.123485436,0,0.724692413,437,NRAS
TCGA-EB-A553-01A-12D-A27K-08,0.124519646,0.006495124,0.526506063,415,BRAF
TCGA-EB-A57M-01A-51D-A30X-08,0.45704593,0,0,44,WT
TCGA-EB-A5FP-01A-11D-A27K-08,0.045365677,0,0.705819114,543,BRAF
TCGA-EB-A5KH-06A-11D-A27K-08,0.50539504,0,0,45,WT
TCGA-EB-A5SE-01A-11D-A30X-08,0.056169958,0,0.73227034,386,BRAF
TCGA-EB-A5SF-01A-11D-A30X-08,0,0,0.222211006,33,WT
TCGA-EB-A5SG-06A-11D-A30X-08,0.008054468,0.115192255,0.867664076,316,NRAS
TCGA-EB-A5SH-06A-11D-A30X-08,0,0,0.154577652,96,WT
TCGA-EB-A5UL-06A-11D-A30X-08,0.066127387,0,0.705948858,592,NRAS
TCGA-EB-A5UM-01A-11D-A30X-08,0.060513334,0,0.810375362,719,WT
TCGA-EB-A5UN-06A-11D-A30X-08,0.062972176,0,0.693421375,945,BRAF
TCGA-EB-A5VU-01A-21D-A32N-08,0.341676015,0,0,46,NRAS
TCGA-EB-A6L9-06A-11D-A32N-08,0.438826236,0,0,29,WT
TCGA-EB-A6QY-01A-12D-A32N-08,0.047857047,0,0.816135854,873,BRAF
TCGA-EB-A6QZ-01A-12D-A32N-08,0.052929167,0,0.683207783,366,BRAF
TCGA-EB-A6R0-01A-12D-A32N-08,0.089977009,0,0.69724904,478,BRAF
TCGA-EB-A82B-01A-11D-A34U-08,0.743083662,0,0,59,NF1
TCGA-EB-A82C-01A-11D-A34U-08,0.26864684,0,0.320383708,38,NF1
TCGA-EB-A85I-01A-11D-A34U-08,0.116397962,0,0.766765705,290,BRAF
TCGA-EB-A85J-01A-12D-A34U-08,0.043594678,0,0.956405322,526,NRAS
TCGA-EB-A97M-01A-11D-A38G-08,0.129193752,0,0.866220444,411,WT
TCGA-EE-A17X-06A-11D-A197-08,0.063454029,0,0.835767957,1030,NRAS
TCGA-EE-A17Y-06A-11D-A196-08,0.014399039,0,0.715906029,215,BRAF
TCGA-EE-A17Z-06A-11D-A196-08,0.226480421,0,0,27,WT
TCGA-EE-A180-06A-11D-A21A-08,0.120121471,0,0.772421871,707,NF1
TCGA-EE-A181-06A-11D-A196-08,0.015179184,0,0.88420446,3074,NF1
TCGA-EE-A182-06A-11D-A196-08,0.07161081,0,0.847952454,1801,NF1
